hs4,수입액_백만달러,미등록_코드수,류,호_법정명칭
3818,3347.3,3,각종 화학공업 생산품,"전자공업에 사용하기 위하여 도프처리된(doped) 화학원소(디스크·웨이퍼 모양이나 이와 유사한 모양으로 한정한다), 전자공업에 사용하기 위하여 도프처리된(dope"
2607,2949.2,1,광(鑛)·슬래그(slag)·회(灰),납광과 그 정광(精鑛)
8529,2362.7,14,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",부분품(제8524호부터 제8528호까지에 열거된 물품에 전용되거나 주로 사용되는 것으로 한정한다)
8479,2262.9,52,원자로·보일러·기계류와 이들의 부분품,이 류에 따로 분류되지 않은 기계류(고유의 기능을 가진 것으로 한정한다)
2825,2153.4,25,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물","히드라진·히드록실아민과 이들의 무기염, 그 밖의 무기염기·금속산화물·금속수산화물·금속과산화물"
8543,2043.5,25,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",그 밖의 전기기기(이 류에 따로 분류되지 않은 것으로서 고유의 기능을 가진 것으로 한정한다)
3824,1839.3,53,각종 화학공업 생산품,"조제 점결제(주물의 주형용이나 코어용으로 한정한다), 따로 분류되지 않은 화학품과 화학공업이나 연관공업에 따른 조제품(천연물만의 혼합물을 포함한다)"
7112,1632.5,8,"천연진주·양식진주·귀석·반귀석·귀금속·귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화","귀금속이나 귀금속을 입힌 금속의 웨이스트(waste)와 스크랩(scrap), 귀금속이나 귀금속 화합물을 포함하고 있는 그 밖의 웨이스트(waste)와 스크랩(sc"
2905,1592.9,35,유기화학품,비환식알코올과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
2841,1523.0,19,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물",산화금속산염이나 과산화금속산염
2933,1457.1,49,유기화학품,질소 원자만을 함유한 헤테로고리 화합물
8409,1373.5,13,원자로·보일러·기계류와 이들의 부분품,제8407호나 제8408호의 엔진에 전용되거나 주로 사용되는 부분품
3923,1318.4,7,플라스틱과 그 제품,"플라스틱으로 만든 물품운반·포장 용기, 플라스틱으로 만든 뚜껑·마개·캡과 이와 유사한 물품"
2902,1297.7,16,유기화학품,환식탄화수소
8421,1284.8,31,원자로·보일러·기계류와 이들의 부분품,"원심분리기(원심탈수기를 포함한다), 액체용이나 기체용 여과기나 청정기"
2901,1186.6,12,유기화학품,비환식탄화수소
9013,1178.1,8,"광학기기·사진용 기기·영화용 기기·측정기기·검사기기·정밀기기·의료용 기기, 이들의 부분품과 부속품","레이저기기[레이저 다이오드(laser diode)는 제외한다], 그 밖의 광학기기(이 류에 따로 분류되지 않은 것으로 한정한다)"
2613,1126.1,2,광(鑛)·슬래그(slag)·회(灰),몰리브덴광과 그 정광(精鑛)
3921,1109.6,35,플라스틱과 그 제품,플라스틱으로 만든 그 밖의 판·시트(sheet)·필름·박(箔)·스트립
2616,1085.8,3,광(鑛)·슬래그(slag)·회(灰),귀금속광과 그 정광(精鑛)
3815,1067.3,9,각종 화학공업 생산품,반응시작제·반응촉진제·촉매 조제품(따로 분류되지 않은 것으로 한정한다)
8807,1066.8,8,"항공기와 우주선, 이들의 부분품",제8801호·제8802호·제8806호 물품의 부분품
4703,1014.5,6,"목재나 그 밖의 섬유질 셀룰로오스 재료의 펄프, 회수한 종이·판지[웨이스트(waste)와 스크랩(scrap)]","화학목재펄프(소다펄프나 황산펄프로 한정하며, 용해용은 제외한다)"
7410,982.6,6,구리와 그 제품,구리의 박(箔)[인쇄한 것인지 또는 종이·판지·플라스틱이나 이와 유사한 보강재로 뒷면을 붙인 것인지에 상관없으며 그 두께(보강재의 두께는 제외한다)가 0.15밀리
7204,943.2,7,철강,"철의 웨이스트(waste)와 스크랩(scrap), 철강의 재용해용 스크랩 잉곳(scrap ingot)"
8431,940.9,11,원자로·보일러·기계류와 이들의 부분품,제8425호부터 제8430호까지의 기계에 전용되거나 주로 사용되는 부분품
3822,935.8,37,각종 화학공업 생산품,"뒤편을 보강한 진단용ㆍ실험실용 시약과 뒤편을 보강하였거나 보강하지 않은 진단용ㆍ실험실용 조제시약(도구모음 형태로 된 것인지에 상관없으며, 제3006호의 물품은 제"
2844,897.8,13,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물","방사성원소·방사성동위원소(핵분열성이나 연료핵친원소와 동위원소를 포함한다)와 이들의 화합물, 이들의 물품을 함유한 혼합물과 잔재물"
8538,844.1,6,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",부분품(제8535호·제8536호·제8537호의 기기에 전용되거나 주로 사용되는 것으로 한정한다)
8549,781.4,27,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",전기·전자 웨이스트(waste)와 스크랩(scrap)
2804,753.2,19,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물",수소·희가스(rare gas)와 그 밖의 비(非)금속원소
3204,751.7,17,"유연용·염색용 추출물(extract), 탄닌과 이들의 유도체, 염료·안료와 그 밖의 착색제, 페인트·바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크","합성 유기착색제(화학적으로 단일한 것인지에 상관없다), 이것을 기본 재료로 한 조제품(이 류의 주 제3호의 것으로 한정한다), 형광증백제(螢光增白劑)나 루미노퍼("
7207,741.8,9,철강,철이나 비합금강의 반제품
8526,723.9,14,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",레이더기기·항행용 무선기기·무선 원격조절기기
3823,713.3,12,각종 화학공업 생산품,"공업용 모노카르복시 지방산, 유지를 정제할 때 생긴 애시드유(acid oil), 공업용 지방성 알코올"
2934,703.5,16,유기화학품,"핵산과 이들의 염(화학적으로 단일한 것인지에 상관없다), 그 밖의 헤테로고리 화합물"
4401,685.4,10,"목재와 그 제품, 목탄","땔나무(통나무, 목편, 작은 가지, 다발이나 이와 유사한 모양으로 한정한다), 칩이나 삭편(削片) 모양인 목재, 톱밥·목재의 웨이스트(waste)와 스크랩(scr"
2304,673.9,1,"식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",대두유를 추출할 때 얻는 오일 케이크와 고체 형태의 유박[잘게 부순 것인지 또는 펠릿(pellet) 모양인지에 상관없다]
7616,652.9,6,알루미늄과 그 제품 소호주: 1. 이 류에서 다음 각 목의 용어는 아래에서 정하는 바에 따른다. 가. 합금하지 않은 알루미늄 알루미늄의 함유량이 전 중량의 100분의 99 이상인 금속으로서 그 밖의 원소의 함유량이 중량비로 다음 표에 열거한 한도를 초과하지 않아야 한다.,알루미늄으로 만든 그 밖의 제품
8412,608.7,12,원자로·보일러·기계류와 이들의 부분품,그 밖의 엔진과 모터
