term,aliases,target,note
원유,석유|크루드,2709,수입 1위 품목
석탄,유연탄|무연탄|석탄연료,2701,
천연가스,LNG|액화천연가스|가스,2711,
휘발유,가솔린,271012,
경유,디젤|디젤유,271019,
등유,케로신,271019,
항공유,제트유|항공유류,271019,제2710.19호는 경유·등유·중유와 한 소호를 쓴다
윤활유,엔진오일,271019,
철광석,철광,2601,
동광,구리광|구리광석,2603,
아연광,아연광석,2608,
소금,천일염|식염,2501,
시멘트,포틀랜드시멘트,2523,
석회석,석회,2521,
흑연,그라파이트,2504,
요소,요소비료,310210,요소수 원료
요소수,애드블루|AdBlue,310210,요소수 자체의 코드는 없다 — 원료인 요소로 보낸다
비료,화학비료|복합비료,3102|3103|3104|3105,
리튬,탄산리튬|수산화리튬,283691|282520,이차전지 소재
코발트,코발트정광,8105|282200,
니켈,니켈지금,7502,
백신,코로나백신|예방접종,3002,
의약품,약|처방약|신약,3004,
항생제,항생물질,2941|3003,
비타민,영양제,2936|2106,
건강기능식품,건기식|영양보충제,2106,
화장품,기초화장품|스킨케어,3304,
향수,퍼퓸|향수류,3303,
샴푸,린스|헤어케어,3305,
비누,세안비누|손비누,3401,
치약,구강청결,3306,
세제,세탁세제|주방세제,3402,
기저귀,종이기저귀|팬티기저귀,9619,
생리대,위생용품,9619,
마스크,보건용마스크|KF94,630790|481890,부직포 마스크는 제6307호
페인트,도료|페인트류,3208|3209,
접착제,본드|실란트,3506,
플라스틱,합성수지,3901|3902|3903|3904|3907,
페트,PET|폴리에틸렌테레프탈레이트,390761|390769,
폴리에틸렌,PE,3901,
폴리프로필렌,PP,3902,
타이어,자동차타이어|튜브,4011,
고무,천연고무|합성고무,4001|4002,
가죽,피혁|원피,4104|4107,
가방,핸드백|백팩|배낭|여행가방|캐리어,4202,
지갑,카드지갑|파우치,4202,
목재,원목|제재목,4403|4407,
합판,베니어,4412,
종이,인쇄용지|복사용지,4802,
골판지,박스지|포장용지,4808|4819,
화장지,휴지|두루마리휴지,4818,
책,도서|서적,4901,
면,원면|면화,5201,
면사,면실,5205,
폴리에스터,합성섬유|화학섬유,5402|5503,
원단,직물|생지,5208|5407|5512,
카펫,러그|깔개,5701|5702|5703,
부직포,논우븐,5603,
의류,옷|의복,6101|6102|6103|6104|6201|6202|6203|6204,호가 여럿으로 갈린다
티셔츠,티|반팔티|셔츠,6109|6105|6106|6205|6206,
청바지,데님바지|바지,6203|6204|6211,「진」은 술 진과 겹쳐 뺐다
코트,외투|점퍼|패딩,6101|6102|6201|6202,
스웨터,니트|카디건,6110,
양말,스타킹|타이츠,6115,
속옷,팬티|브래지어|내의,6107|6108|6212,
수영복,래시가드,6112|6211,
장갑,목장갑|방한장갑,6116|6216,
이불,침구|베개|담요,6301|6302,
수건,타월|타올,6302,
커튼,블라인드,6303,
운동화,스니커즈|스포츠화,6404|6403,갑피 소재로 호가 갈린다
구두,가죽구두|드레스화,6403,
슬리퍼,샌들|실내화,6402|6404,
장화,레인부츠|작업화,6401|6402,
모자,캡|비니,6505|6506,
우산,양산,6601,
유리,판유리|강화유리,7005|7007,
유리병,유리용기,7010,
도자기,그릇|식기|타일,6907|6911|6912,
다이아몬드,금강석,7102,
금,금괴|골드,7108,
은,은괴|실버,7106,
백금,플래티넘,7110,
귀금속,장신구|주얼리|반지|목걸이,7113,
철강,철강재|강재,7208|7209|7210,
열연강판,열연,7208,
냉연강판,냉연,7209,
도금강판,아연도금강판|컬러강판,7210|7212,
스테인리스,스테인레스|스텐,7219|7220,
철근,봉강,7213|7214,
강관,파이프|철관,7304|7305|7306,
알루미늄,알루미늄괴|알미늄,7601,
알루미늄판,알루미늄시트,7606,
구리,동|전기동,7403,
구리선,동선|전선용동,7408,
아연,아연괴,7901,
납,연괴,7801,
주석,틴,8001,
텅스텐,중석,8101,
티타늄,티탄,8108,
희토류,희토류금속|레어어스,2805|2846,
나사,볼트|너트|스크류,7318,
못,철못|타카핀,7317,
공구,드릴비트|절삭공구,8207,
칼,주방칼|식칼|커터,8211,
숟가락,포크|수저|커트러리,8215,
자물쇠,도어락|잠금장치,8301,
원자로,원전설비,8401,
보일러,산업용보일러,8402|8403,
터빈,증기터빈|가스터빈,8406|8411,
엔진,내연기관|디젤엔진,8407|8408,
펌프,워터펌프|유압펌프,8413,
공기압축기,컴프레서|콤프레샤,8414,
선풍기,환풍기|송풍기,841451|841459|841480,
에어컨,에어콘|공조기|냉방기,8415,
냉장고,냉동고|김치냉장고,8418,
정수기,물여과기,842121,
공기청정기,청정기|에어퍼리파이어|공기여과기,842139,
식기세척기,식세기|접시세척기,842211|842219,
포장기계,충전기계|라벨기,8422,
지게차,포크리프트,8427,
굴착기,굴삭기|포클레인,8429,
트랙터,농기계,8701|8432,
콤바인,수확기,8433,
프린터,복합기|복사기,8443,
재봉기,미싱,8452,
공작기계,머시닝센터|CNC,8457|8458|8459,
반도체장비,노광장비|식각장비|전공정장비,8486,수입 4위 호
베어링,볼베어링,8482,
기어,감속기,8483,
세탁기,드럼세탁기|통돌이,8450,
건조기,의류건조기,8451,
컴퓨터,노트북|랩탑|PC|데스크탑|서버,8471,
SSD,하드디스크|HDD|저장장치|기억장치,847170,
컴퓨터부품,그래픽카드|메인보드|키보드|마우스,8473|8471,
전동기,모터|서보모터,8501,
발전기,발전세트,8501|8502,
변압기,트랜스|인버터|충전기,8504,
배터리,이차전지|리튬이온전지|건전지,8507|8506,
청소기,진공청소기|로봇청소기,8508,
믹서기,블렌더|주서기|푸드프로세서,850940,
전자레인지,마이크로웨이브,851650,
주방가전,전기밥솥|토스터|전기오븐|전기히터|헤어드라이어,8516,
스마트폰,휴대폰|핸드폰|폰|셀룰러폰,851713,
통신장비,라우터|공유기|기지국,8517,
이어폰,헤드폰|스피커|마이크,8518,
카메라,캠코더|CCTV|웹캠,8525,
TV,텔레비전|티비|모니터|디스플레이,8528,
LED,엘이디|발광다이오드,854141,
전구,램프|조명기기,8539,
콘덴서,커패시터|캐패시터,8532,
저항기,레지스터,8533,
인쇄회로,PCB|기판|인쇄회로기판,8534,
차단기,두꺼비집|배전반,8535|8536|8537,
반도체,웨이퍼|칩|집적회로|IC|메모리,8542|8541,수입 2위 호
다이오드,트랜지스터|전력반도체,8541,
태양광,태양전지|솔라패널|태양광모듈,854143,
전선,케이블|광케이블,8544,
기관차,철도차량|전동차,8601|8602|8603,
승용차,자동차|세단|SUV|신차|중고차,8703,「차」는 녹차와 겹쳐 뺐다
전기차,EV|전기자동차|하이브리드,870380|870340,
화물차,트럭|덤프트럭,8704,
버스,승합차|미니버스,8702,
자동차부품,자동차부속|차부품,8708,
오토바이,이륜차|모터사이클|스쿠터,8711,
전동킥보드,킥보드|전동스쿠터,871160,
자전거,사이클|MTB,8712,
전기자전거,이바이크,871160,
유모차,베이비카,8715,
비행기,항공기|여객기,8802,
드론,무인기,8806,
선박,화물선|유조선|컨테이너선,8901|8902|8903|8904,「배」는 과일 배와 겹쳐 뺐다
요트,보트|레저보트,8903,
콘택트렌즈,렌즈,9001,
안경,선글라스|안경테,9004,
현미경,광학기기,9011|9012,
측정기,계측기|센서|오실로스코프|분석기|자동제어기,9025|9026|9027|9030|9031|9032,
의료기기,주사기|수술기구|내시경,9018,
엑스레이,CT|MRI|영상진단,9022,
보청기,인공관절|임플란트|의료보조기,9021,
체온계,온도계,902519,
시계,손목시계|스마트워치,9101|9102,
악기,기타|피아노|바이올린,9201|9202|9207,
의자,사무용의자|소파,9401,
가구,책상|책장|수납장,9403,
침대,매트리스|이불솜,9404,
조명,전등|램프기구|샹들리에,9405,
장난감,완구|인형|블록,9503,
게임기,콘솔|보드게임|카지노기기,9504,
골프채,골프클럽|골프용품,9506,
운동기구,헬스기구|러닝머신,9506,
낚시,낚싯대|낚시용품,9507,
칫솔,브러시|빗자루,9603,
라이터,성냥,9613,
볼펜,펜|연필|필기구,9608|9609,
소고기,쇠고기|한우|소갈비|등심,0201|0202,
돼지고기,삼겹살|목살|돈육,0203,
닭고기,치킨|계육|닭다리,0207,
양고기,램|양꼬치,0204,
소시지,햄|베이컨|육가공품,1601|1602,
생선,어류|활어,0301|0302|0303,
연어,훈제연어,0302|0303|0304,
참치,다랑어|참치캔,0302|0303|1604,
고등어,삼치,0302|0303,
명태,동태|코다리|황태,0303,
갈치,조기|굴비,0303,
새우,대하|흰다리새우,0306,
게,대게|킹크랩|꽃게,0306,
오징어,낙지|문어|주꾸미,0307,
조개,홍합|바지락|전복|굴,0307,
김,조미김|마른김,1212,해조류
미역,다시마|해조류,1212,
우유,생우유|멸균우유,0401,
분유,조제분유,0402,
버터,유지방,0405,
치즈,모차렐라|체다,0406,
계란,달걀|난황,0407|0408,
꿀,벌꿀|천연꿀,0409,
감자,고구마|알감자,0701|0714,
토마토,방울토마토,0702,
양파,적양파,070310,수입 민감 품목
마늘,깐마늘|다진마늘,070320,수입 민감 품목
대파,쪽파|파,070390,
배추,양배추|브로콜리,0704,
상추,시금치|쌈채소,0705|0709,
당근,무|순무,0706,
오이,호박|가지|애호박,0707|0709,
버섯,표고버섯|새송이,0709|0712,
녹두,팥|채두류|렌틸,0713,
콩나물,숙주,070999,
바나나,플랜틴,0803,
망고,파인애플|아보카도|구아바,0804,
오렌지,귤|레몬|자몽|라임,0805,
포도,샤인머스캣|건포도,0806,
멜론,수박|참외,0807,
사과,배,0808,
체리,복숭아|자두|살구,0809,
블루베리,딸기|키위|크랜베리,0810,
견과,아몬드|호두|캐슈넛|피스타치오,0802,
대추,건대추|곶감|건조과실,0813,
커피,원두|생두|커피콩,0901,
차,녹차|홍차|티백,0902,
후추,흑후추|백후추,090411|090412,
고추,건고추|고춧가루|파프리카,090421|090422,종량 하한 품목
계피,시나몬|정향|육두구,0906|0907|0908,
생강,건생강|생강가루,0910,종량 하한 품목
강황,울금|카레가루,091030,
쌀,백미|현미|찹쌀,1006,
밀,소맥|밀가루,1001|1101,
옥수수,콘|사료용옥수수,1005,
보리,귀리|호밀|메밀,1003|1004|1008,
콩,대두|메주콩,1201,
참깨,깨|들깨,1207,
땅콩,낙화생,1202,
전분,녹말|타피오카,1108,
팜유,팜올레인,1511,
대두유,콩기름|카놀라유|해바라기유,1507|1512|1514,
올리브유,올리브오일,1509,
참기름,들기름,1515,
설탕,원당|백설탕,1701,
사탕,캔디|젤리|껌,1704,
초콜릿,코코아|초코,1806|1801,
라면,즉석면|파스타|스파게티,1902,
시리얼,콘플레이크|뻥튀기,1904,
빵,과자|비스킷|쿠키|와플,1905,
잼,과일잼|마멀레이드,2007,
주스,과일주스|오렌지주스,2009,
커피믹스,인스턴트커피|믹스커피,2101,
효모,베이킹파우더,2102,
