term,aliases,target,코드수,수입액_백만달러,수입몫_%,이미검색됨,판정,대상_법정명칭
원유,석유|크루드,2709,10,75304.8,11.922,10/10,이미검색됨,석유와 역청유(瀝靑油)(원유로 한정한다)
석탄,유연탄|무연탄|석탄연료,2701,9,12394.9,1.962,9/9,이미검색됨,석탄과 석탄으로 제조한 연탄·조개탄(ovoid)과 이와 유사한 고체 연료
천연가스,LNG|액화천연가스|가스,2711,10,30486.0,4.826,2/10,OK,석유가스와 그 밖의 가스 상태의 탄화수소
휘발유,가솔린,271012,6,17274.1,2.735,2/6,OK,경질유(輕質油)와 조제품
경유,디젤|디젤유,271019,42,3715.6,0.588,1/42,OK,기타
등유,케로신,271019,42,3715.6,0.588,1/42,OK,기타
항공유,제트유|항공유류,271019,42,3715.6,0.588,0/42,OK,기타
윤활유,엔진오일,271019,42,3715.6,0.588,2/42,OK,기타
철광석,철광,2601,7,7197.2,1.139,0/7,OK,철광과 그 정광(精鑛)[배소(焙燒)한 황화철광을 포함한다]
동광,구리광|구리광석,2603,1,6089.1,0.964,0/1,OK,구리광과 그 정광(精鑛)
아연광,아연광석,2608,1,1724.3,0.273,1/1,이미검색됨,아연광과 그 정광(精鑛)
소금,천일염|식염,2501,5,261.3,0.041,5/5,이미검색됨,"소금(식탁염과 변성염을 포함한다), 순염화나트륨[수용액(水溶液)인지 또는 고결(固結)방지제나 유동제를 첨가한"
시멘트,포틀랜드시멘트,2523,6,61.1,0.01,6/6,이미검색됨,포틀랜드(Portland) 시멘트·알루미나(aluminous) 시멘트·슬래그(slag) 시멘트·슈퍼설페이트(
석회석,석회,2521,2,48.3,0.008,2/2,이미검색됨,"석회석 융제(融劑), 석회석과 그 밖의 석회질의 암석(석회나 시멘트 제조용으로 한정한다)"
흑연,그라파이트,2504,4,51.3,0.008,4/4,이미검색됨,천연 흑연
요소,요소비료,310210,2,282.7,0.045,2/2,이미검색됨,요소(수용액의 것인지에 상관없다)
요소수,애드블루|AdBlue,310210,2,282.7,0.045,0/2,OK,요소(수용액의 것인지에 상관없다)
비료,화학비료|복합비료,3102|3103|3104|3105,31,716.0,0.113,31/31,이미검색됨,"질소비료(광물성 비료나 화학비료로 한정한다) / 인산비료(광물성 비료나 화학비료로 한정한다) / 칼륨비료(광물성 비료나 화학비료로 한정한다) / 광물성 비료나 화학비료(비료의 필수요소인 질소·인·칼륨 중 두 가지나 세 가지를 함유하는 것으로 한정한다),"
리튬,탄산리튬|수산화리튬,283691|282520,3,1206.5,0.191,3/3,이미검색됨,탄산리튬 / 산화리튬과 수산화리튬
코발트,코발트정광,8105|282200,10,201.3,0.032,10/10,이미검색됨,"코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 코발트와 그 제품[웨이스트(waste) / 산화코발트, 수산화코발트, 상관습(商慣習)상의 산화코발트"
